NUISANCE_PARAMETERS
AlphaS  -0.101983 +0.973865 -0.973865
ElectronER  1.45973 +0.946577 -0.946577
ElectronES  8.38619e-07 +0.981538 -0.981538
ElectronID  0.415798 +0.0312609 -0.0312609
ElectronRECO  -1.55617 +0.344318 -0.344318
FakeClosure_tautau_c0_hi  -0.0783794 +0.920494 -0.920494
FakeClosure_tautau_c1_hi  -0.13543 +0.45762 -0.45762
FakeClosure_tautau_c1_lo  0.774618 +0.803895 -0.803895
FakeClosure_tautau_c2_hi  1.62838 +0.793509 -0.793509
FakeClosure_tautau_c2_lo  0.258476 +0.985119 -0.985119
FakeMethod_mumu  0.341407 +0.94231 -0.94231
FakeOSSS_tautau_c0  -0.227589 +0.560223 -0.560223
FakeOSSS_tautau_c1  0.451673 +0.902412 -0.902412
FakeOSSS_tautau_c2  0.339276 +0.96959 -0.96959
FakeStat_mumu  0.203391 +0.961152 -0.961152
L1Prefiring  2.63492 +0.265044 -0.265044
Lumi  -0.452435 +0.12295 -0.12295
MCStatNorm_WJets_tautau  -0.176072 +0.515961 -0.515961
MET_Unclustered  -0.198983 +0.880959 -0.880959
MuonID  1.06178 +0.626151 -0.626151
MuonIso  1.14365 +0.403348 -0.403348
MuonReco  3.28894 +0.2064 -0.2064
MuonRes  0.350396 +0.0831232 -0.0831232
MuonScale  -0.399643 +0.0724064 -0.0724064
MuonTrigger  0.546993 +0.650761 -0.650761
PDF  1.49787 +0.830134 -0.830134
PS_FSR  -0.639291 +0.212804 -0.212804
PS_ISR  1.62523 +0.514991 -0.514991
Pileup  -0.00658147 +0.325988 -0.325988
QCDScale  -1.16295 +0.201207 -0.201207
SigModel_mumu  0.588326 +0.0572587 -0.0572587
TauES_DM0  -0.437977 +0.91891 -0.91891
TauES_DM1  -0.226066 +0.885801 -0.885801
TauES_DM10  -0.248966 +0.975284 -0.975284
TauES_DM11  0.0584894 +0.979292 -0.979292
TauFakeEle  -0.0269155 +0.983673 -0.983673
TauFakeMu  0.000991745 +0.981548 -0.981548
TauID_DM0  0.645643 +0.983563 -0.983563
TauID_DM1  0.620912 +1.01419 -1.01419
TauID_DM10  0.101346 +0.454364 -0.454364
TauID_DM11  0.25898 +0.972433 -0.972433
TauTrigger_DM0  0.356642 +1.09986 -1.09986
TauTrigger_DM1  0.383108 +1.02185 -1.02185
TauTrigger_DM10  0.20012 +0.879542 -0.879542
TauTrigger_DM11  0.118766 +0.979825 -0.979825
XS_DYll  -0.00234446 +0.98117 -0.98117
XS_DYlowmass  -0.00634169 +0.981755 -0.981755
XS_DYtautau  -1.74149 +0.881025 -0.881025
XS_DYtautau_nonfid  -0.160301 +0.935752 -0.935752
XS_SingleTop  0.107822 +0.974949 -0.974949
XS_TTbar  0.423088 +0.838704 -0.838704
XS_VV  -0.222828 +0.977284 -0.977284
XS_WJets  -0.945008 +0.910385 -0.910385
XS_WW  0.123216 +0.973081 -0.973081
XS_WZ  0.088248 +0.976504 -0.976504
XS_ZZ  0.046494 +0.978814 -0.978814
gamma_stat_ee_SR_bin_0  0.966132 +0.00746643 -0.00746643
gamma_stat_ee_SR_bin_1  0.989312 +0.00737275 -0.00737275
gamma_stat_ee_SR_bin_10  1.01148 +0.00288359 -0.00288359
gamma_stat_ee_SR_bin_11  1.01853 +0.00242805 -0.00242805
gamma_stat_ee_SR_bin_12  1.00822 +0.00173807 -0.00173807
gamma_stat_ee_SR_bin_13  1.00147 +0.00123216 -0.00123216
gamma_stat_ee_SR_bin_14  0.99663 +0.000929491 -0.000929491
gamma_stat_ee_SR_bin_15  1.00702 +0.00935808 -0.00935808
gamma_stat_ee_SR_bin_16  0.996973 +0.00101 -0.00101
gamma_stat_ee_SR_bin_17  0.977864 +0.00152213 -0.00152213
gamma_stat_ee_SR_bin_18  0.979361 +0.00219726 -0.00219726
gamma_stat_ee_SR_bin_19  0.999908 +0.00300536 -0.00300536
gamma_stat_ee_SR_bin_2  0.946917 +0.00662659 -0.00662659
gamma_stat_ee_SR_bin_20  0.995716 +0.00374211 -0.00374211
gamma_stat_ee_SR_bin_21  1.01368 +0.00464236 -0.00464236
gamma_stat_ee_SR_bin_22  1.00407 +0.0053697 -0.0053697
gamma_stat_ee_SR_bin_23  1.03402 +0.00622628 -0.00622628
gamma_stat_ee_SR_bin_24  1.01276 +0.00656906 -0.00656906
gamma_stat_ee_SR_bin_25  1.00676 +0.00731836 -0.00731836
gamma_stat_ee_SR_bin_26  1.02641 +0.00827435 -0.00827435
gamma_stat_ee_SR_bin_27  1.04542 +0.00936102 -0.00936102
gamma_stat_ee_SR_bin_28  1.01308 +0.00939414 -0.00939414
gamma_stat_ee_SR_bin_29  1.0171 +0.0100647 -0.0100647
gamma_stat_ee_SR_bin_3  0.964929 +0.00610865 -0.00610865
gamma_stat_ee_SR_bin_4  0.977374 +0.00600332 -0.00600332
gamma_stat_ee_SR_bin_5  0.979531 +0.00530396 -0.00530396
gamma_stat_ee_SR_bin_6  0.992588 +0.00494101 -0.00494101
gamma_stat_ee_SR_bin_7  1.00398 +0.00439248 -0.00439248
gamma_stat_ee_SR_bin_8  0.989641 +0.00383383 -0.00383383
gamma_stat_ee_SR_bin_9  1.00076 +0.00334456 -0.00334456
gamma_stat_mumu_SR_bin_0  1.00736 +0.00434067 -0.00434067
gamma_stat_mumu_SR_bin_1  0.995889 +0.00342091 -0.00342091
gamma_stat_mumu_SR_bin_10  1.00928 +0.00462587 -0.00462587
gamma_stat_mumu_SR_bin_11  1.00925 +0.00581381 -0.00581381
gamma_stat_mumu_SR_bin_2  0.997662 +0.00290963 -0.00290963
gamma_stat_mumu_SR_bin_3  0.99557 +0.00213685 -0.00213685
gamma_stat_mumu_SR_bin_4  1.00067 +0.00150429 -0.00150429
gamma_stat_mumu_SR_bin_5  1.00023 +0.000948052 -0.000948052
gamma_stat_mumu_SR_bin_6  1.00008 +0.00075417 -0.00075417
gamma_stat_mumu_SR_bin_7  1 +0.00202679 -0.00202679
gamma_stat_mumu_SR_bin_8  0.998361 +0.00228425 -0.00228425
gamma_stat_mumu_SR_bin_9  1.00631 +0.00337976 -0.00337976
gamma_stat_tautau_SR0_bin_0  0.986011 +0.0191056 -0.0191056
gamma_stat_tautau_SR0_bin_1  0.997943 +0.0141155 -0.0141155
gamma_stat_tautau_SR0_bin_2  1.00475 +0.00891595 -0.00891595
gamma_stat_tautau_SR0_bin_3  1.00551 +0.00898759 -0.00898759
gamma_stat_tautau_SR0_bin_4  0.997068 +0.0107618 -0.0107618
gamma_stat_tautau_SR0_bin_5  1.00206 +0.010137 -0.010137
gamma_stat_tautau_SR0_bin_6  0.990154 +0.00975612 -0.00975612
gamma_stat_tautau_SR1_bin_0  0.833454 +0.393341 -0.393341
gamma_stat_tautau_SR1_bin_1  0.980961 +0.0808615 -0.0808615
gamma_stat_tautau_SR1_bin_10  1.07461 +0.191072 -0.191072
gamma_stat_tautau_SR1_bin_11  0.676011 +0.393139 -0.393139
gamma_stat_tautau_SR1_bin_12  0.776648 +0.386138 -0.386138
gamma_stat_tautau_SR1_bin_13  1.12498 +0.290437 -0.290437
gamma_stat_tautau_SR1_bin_2  1.04284 +0.0530442 -0.0530442
gamma_stat_tautau_SR1_bin_3  1.04298 +0.0490452 -0.0490452
gamma_stat_tautau_SR1_bin_4  1.05229 +0.0416636 -0.0416636
gamma_stat_tautau_SR1_bin_5  1.00644 +0.033123 -0.033123
gamma_stat_tautau_SR1_bin_6  0.979903 +0.0285448 -0.0285448
gamma_stat_tautau_SR1_bin_7  0.992123 +0.0269233 -0.0269233
gamma_stat_tautau_SR1_bin_8  1.01443 +0.0456308 -0.0456308
gamma_stat_tautau_SR1_bin_9  1.00481 +0.064544 -0.064544
gamma_stat_tautau_SR2_bin_0  4.15573e-10 +47194.5 -47194.5
gamma_stat_tautau_SR2_bin_1  0.994762 +0.117294 -0.117294
gamma_stat_tautau_SR2_bin_10  1.32096 +0.327083 -0.327083
gamma_stat_tautau_SR2_bin_11  0.85525 +0.248027 -0.248027
gamma_stat_tautau_SR2_bin_12  0.499606 +0.869686 -0.869686
gamma_stat_tautau_SR2_bin_13  1.04976 +0.370034 -0.370034
gamma_stat_tautau_SR2_bin_2  1.02131 +0.0547592 -0.0547592
gamma_stat_tautau_SR2_bin_3  1.0301 +0.0339273 -0.0339273
gamma_stat_tautau_SR2_bin_4  0.9906 +0.0258229 -0.0258229
gamma_stat_tautau_SR2_bin_5  0.975161 +0.0280179 -0.0280179
gamma_stat_tautau_SR2_bin_6  0.994087 +0.0425194 -0.0425194
gamma_stat_tautau_SR2_bin_7  1.17584 +0.0925818 -0.0925818
gamma_stat_tautau_SR2_bin_8  1.24757 +0.160557 -0.160557
gamma_stat_tautau_SR2_bin_9  0.747231 +0.134067 -0.134067
mu_comb  0.95488 +0.0135353 -0.0134633


CORRELATION_MATRIX
134   134
0.0146413   0.000255237   9.22557e-05   0.000331139   -0.000512178   0.000668947   0.000380488   -0.000272682   0.000324213   -0.000103989   -0.000669416   -0.000810396   0.000877443   0.00101729   1.45438e-06   -0.000158284   0.000314422   -0.000426493   0.000905132   0.000752159   -0.00072918   0.000391217   -0.000552457   7.97694e-05   -0.000600941   -9.66604e-05   -0.000195292   -8.62858e-05   -6.94867e-06   0.00037962   2.52182e-05   0.000125818   -8.58483e-06   -0.000324339   -3.12578e-05   0.000568794   0.028326   -0.0115077   0.000283332   0.00305589   0.0095376   0.0163864   -1.60541e-05   0.00307317   -0.00413799   0.0602281   -0.0383081   -0.0453885   0.00385663   0.00293371   0.00182097   0.00210377   0.00299761   0.00414913   0.0050385   -0.000525839   -0.0013521   5.13727e-05   -0.000629864   -0.000932338   -0.000177353   -0.00111315   -0.00239391   -0.00268074   -0.00172445   0.00503426   -0.00277475   -0.00240503   -0.00533282   -0.00492026   0.00175505   -0.00244141   -0.000744878   0.00162902   0.0015191   0.0029028   0.0034488   0.00574997   0.000333455   0.00150747   -0.00085646   0.000507689   -0.000446455   0.000452901   -3.49258e-05   0.000401103   -0.0174848   7.1145e-06   2.73865e-05   0.000443679   -7.58439e-05   0.00113305   -0.00256818   0.000579514   0.000119508   0.00176649   -0.00192469   -3.47403e-07   0.000227947   2.10682e-05   0.000201624   0.000711091   0.000390236   0.0668252   0.00154392   0.0068249   0.0157847   0.000384504   -0.011447   -0.00648782   -0.0421634   0.0499427   0.02925   -0.00972025   0.0207508   7.62654e-06   -0.000562848   0.0138779   -0.0142356   -0.00309401   0.000353323   0.00016105   0.000945588   -0.00652936   0.000556226   0.000967892   0.000602871   -0.00151758   0.000245719   -0.0112226   -0.00896393   -4.084e-08   -0.000579195   1   
