Background normalisation    0  ( +0, -0 )
Electron ID    0  ( +0, -0 )
Electron efficiency    0  ( +0, -0 )
Electron energy resolution    0  ( +0, -0 )
Electron energy scale    0  ( +0, -0 )
Fakes    0  ( +0, -0 )
L1 prefiring    0  ( +0, -0 )
Luminosity    0  ( +0, -0 )
MET    0  ( +0, -0 )
Muon efficiency    0  ( +0, -0 )
Muon momentum    0  ( +0, -0 )
Pileup    0  ( +0, -0 )
Signal modelling    0  ( +0, -0 )
Tau ID    0  ( +0, -0 )
Tau energy scale    0  ( +0, -0 )
Tau trigger    0  ( +0, -0 )
Gammas    0  ( +0, 0 )
FullSyst    0  ( +0, -0 )

