NUISANCE_PARAMETERS
AlphaS  -0.102896 +0.978955 -0.978955
ElectronER  1.45942 +0.942608 -0.942608
ElectronES  1.41321e-07 +0.98557 -0.98557
ElectronID  0.415682 +0.0354209 -0.0354209
ElectronRECO  -1.556 +0.372482 -0.372482
FakeClosure_tautau_c0_hi  -0.0785833 +0.928587 -0.928587
FakeClosure_tautau_c1_hi  -0.134662 +0.466874 -0.466874
FakeClosure_tautau_c1_lo  0.775055 +0.809892 -0.809892
FakeClosure_tautau_c2_hi  1.63217 +0.796115 -0.796115
FakeClosure_tautau_c2_lo  0.258217 +0.967384 -0.967384
FakeMethod_mumu  0.342258 +0.983539 -0.983539
FakeOSSS_tautau_c0  -0.227424 +0.567389 -0.567389
FakeOSSS_tautau_c1  0.45289 +0.907573 -0.907573
FakeOSSS_tautau_c2  0.33963 +0.966292 -0.966292
FakeStat_mumu  0.203828 +0.966201 -0.966201
L1Prefiring  2.62995 +0.429827 -0.429827
Lumi  -0.44755 +0.138373 -0.138373
MCStatNorm_WJets_tautau  -0.176554 +0.529996 -0.529996
MET_Unclustered  -0.199089 +0.883508 -0.883508
MuonID  1.06132 +0.737683 -0.737683
MuonIso  1.14702 +0.470023 -0.470023
MuonReco  3.28704 +0.238858 -0.238858
MuonRes  0.350452 +0.0860166 -0.0860166
MuonScale  -0.399695 +0.0783705 -0.0783705
MuonTrigger  0.547353 +0.736208 -0.736208
PDF  1.49926 +0.706194 -0.706194
PS_FSR  -0.640178 +0.365075 -0.365075
PS_ISR  1.62144 +0.602604 -0.602604
Pileup  -0.00727906 +0.218269 -0.218269
QCDScale  -1.16379 +0.293004 -0.293004
SigModel_mumu  0.588721 +0.0663084 -0.0663084
TauES_DM0  -0.437786 +0.926797 -0.926797
TauES_DM1  -0.224204 +0.894714 -0.894714
TauES_DM10  -0.249365 +0.978954 -0.978954
TauES_DM11  0.0579779 +0.982789 -0.982789
TauFakeEle  -0.0266551 +0.984757 -0.984757
TauFakeMu  0.00100791 +0.9849 -0.9849
TauID_DM0  0.647483 +0.847151 -0.847151
TauID_DM1  0.618126 +0.848282 -0.848282
TauID_DM10  0.10296 +0.7841 -0.7841
TauID_DM11  0.261952 +0.947054 -0.947054
TauTrigger_DM0  0.357811 +0.977247 -0.977247
TauTrigger_DM1  0.37925 +0.929869 -0.929869
TauTrigger_DM10  0.197888 +0.985468 -0.985468
TauTrigger_DM11  0.118505 +0.977182 -0.977182
XS_DYll  -0.00254065 +0.984563 -0.984563
XS_DYlowmass  -0.00657522 +0.985102 -0.985102
XS_DYtautau  -1.74007 +0.891077 -0.891077
XS_DYtautau_nonfid  -0.161565 +0.945242 -0.945242
XS_SingleTop  0.108472 +0.980406 -0.980406
XS_TTbar  0.42429 +0.869217 -0.869217
XS_VV  -0.230076 +0.983388 -0.983388
XS_WJets  -0.944151 +0.912887 -0.912887
XS_WW  0.123354 +0.9766 -0.9766
XS_WZ  0.0882241 +0.988012 -0.988012
XS_ZZ  0.046656 +0.984674 -0.984674
gamma_stat_ee_SR_bin_0  0.966134 +0.0078233 -0.0078233
gamma_stat_ee_SR_bin_1  0.989331 +0.0080747 -0.0080747
gamma_stat_ee_SR_bin_10  1.01149 +0.00292291 -0.00292291
gamma_stat_ee_SR_bin_11  1.01854 +0.00241017 -0.00241017
gamma_stat_ee_SR_bin_12  1.00823 +0.00174696 -0.00174696
gamma_stat_ee_SR_bin_13  1.00147 +0.00124572 -0.00124572
gamma_stat_ee_SR_bin_14  0.996627 +0.000920965 -0.000920965
gamma_stat_ee_SR_bin_15  1.00702 +0.0155447 -0.0155447
gamma_stat_ee_SR_bin_16  0.996973 +0.00100864 -0.00100864
gamma_stat_ee_SR_bin_17  0.977859 +0.00155535 -0.00155535
gamma_stat_ee_SR_bin_18  0.97936 +0.00226703 -0.00226703
gamma_stat_ee_SR_bin_19  0.999909 +0.00304356 -0.00304356
gamma_stat_ee_SR_bin_2  0.946914 +0.00672393 -0.00672393
gamma_stat_ee_SR_bin_20  0.99572 +0.0037949 -0.0037949
gamma_stat_ee_SR_bin_21  1.01368 +0.00472957 -0.00472957
gamma_stat_ee_SR_bin_22  1.00408 +0.00535435 -0.00535435
gamma_stat_ee_SR_bin_23  1.03403 +0.00640254 -0.00640254
gamma_stat_ee_SR_bin_24  1.01276 +0.00660797 -0.00660797
gamma_stat_ee_SR_bin_25  1.00675 +0.00737584 -0.00737584
gamma_stat_ee_SR_bin_26  1.02639 +0.00865824 -0.00865824
gamma_stat_ee_SR_bin_27  1.04544 +0.00966243 -0.00966243
gamma_stat_ee_SR_bin_28  1.01311 +0.0101461 -0.0101461
gamma_stat_ee_SR_bin_29  1.01711 +0.0104306 -0.0104306
gamma_stat_ee_SR_bin_3  0.964932 +0.00636011 -0.00636011
gamma_stat_ee_SR_bin_4  0.97738 +0.0061345 -0.0061345
gamma_stat_ee_SR_bin_5  0.979539 +0.00545229 -0.00545229
gamma_stat_ee_SR_bin_6  0.992591 +0.00502185 -0.00502185
gamma_stat_ee_SR_bin_7  1.00398 +0.00444748 -0.00444748
gamma_stat_ee_SR_bin_8  0.989649 +0.00391017 -0.00391017
gamma_stat_ee_SR_bin_9  1.00077 +0.00346601 -0.00346601
gamma_stat_mumu_SR_bin_0  1.00735 +0.00442777 -0.00442777
gamma_stat_mumu_SR_bin_1  0.995873 +0.00344983 -0.00344983
gamma_stat_mumu_SR_bin_10  1.00928 +0.00455047 -0.00455047
gamma_stat_mumu_SR_bin_11  1.00925 +0.00590277 -0.00590277
gamma_stat_mumu_SR_bin_2  0.99766 +0.0029926 -0.0029926
gamma_stat_mumu_SR_bin_3  0.995573 +0.00215828 -0.00215828
gamma_stat_mumu_SR_bin_4  1.00068 +0.00156838 -0.00156838
gamma_stat_mumu_SR_bin_5  1.00023 +0.000971531 -0.000971531
gamma_stat_mumu_SR_bin_6  1.00008 +0.000776217 -0.000776217
gamma_stat_mumu_SR_bin_7  1 +0.00210138 -0.00210138
gamma_stat_mumu_SR_bin_8  0.998361 +0.00232356 -0.00232356
gamma_stat_mumu_SR_bin_9  1.00631 +0.00343356 -0.00343356
gamma_stat_tautau_SR0_bin_0  0.985997 +0.0192058 -0.0192058
gamma_stat_tautau_SR0_bin_1  0.997959 +0.0141839 -0.0141839
