NUISANCE_PARAMETERS
AlphaS  -0.0143213 +0.998041 -0.998033
ElectronID  0.554274 +0.0729518 -0.0727344
ElectronRECO  0.385018 +0.957111 -0.95271
FakeClosure_tautau_c0_hi  -0.0232786 +0.959991 -0.955515
FakeClosure_tautau_c1_hi  0.234227 +0.500837 -0.485257
FakeClosure_tautau_c1_lo  1.01814 +0.803274 -0.815586
FakeClosure_tautau_c2_hi  1.68324 +0.805716 -0.815859
FakeClosure_tautau_c2_lo  0.337156 +0.967765 -0.979169
FakeMethod_mumu  0.29202 +1.01822 -0.963398
FakeOSSS_tautau_c0  -0.0760842 +0.636824 -0.619222
FakeOSSS_tautau_c1  0.661283 +0.932067 -0.917494
FakeOSSS_tautau_c2  0.356143 +0.992064 -0.979006
FakeStat_mumu  0.165879 +1.0004 -0.991337
L1Prefiring  3.51107 +0.920981 -0.921787
Lumi  -0.804046 +0.981576 -0.98013
MCStatNorm_WJets_tautau  -0.020546 +0.735579 -0.652252
MET_Unclustered  0.118503 +0.897635 -0.894825
MuonID  0.141507 +0.985606 -0.985327
MuonIso  -0.423663 +0.88036 -0.879197
MuonReco  -0.292341 +0.881095 -0.877194
MuonRes  0.456724 +0.099159 -0.0989833
MuonScale  -0.149352 +0.114514 -0.114516
MuonTrigger  -0.263706 +0.969781 -0.968659
PDF  1.6699 +0.883118 -0.882956
PS_FSR  0.0117 +0.546289 -0.548162
PS_ISR  1.23628 +0.87254 -0.857487
Pileup  -1.9531 +0.447661 -0.449003
QCDScale  -1.28509 +0.172599 -0.172571
SigModel_mumu  0.330827 +0.108854 -0.108854
TauES_DM0  -0.439088 +0.952188 -0.941504
TauES_DM1  -0.378866 +0.925811 -0.901261
TauES_DM10  -0.255243 +0.994744 -0.993562
TauES_DM11  0.0801311 +0.998026 -0.997689
TauFakeEle  -0.0495464 +0.998884 -0.997998
TauFakeMu  0.000951767 +1.00001 -1.00001
TauID_DM0  0.458933 +0.769452 -0.744334
TauID_DM1  0.38505 +0.881953 -0.859362
TauID_DM10  -0.165678 +0.856896 -0.832611
TauID_DM11  0.107562 +0.972216 -0.970744
TauTrigger_DM0  0.274629 +0.978602 -0.970901
TauTrigger_DM1  0.24071 +0.962478 -0.954731
TauTrigger_DM10  0.102184 +0.981896 -0.980628
TauTrigger_DM11  0.0534151 +0.994967 -0.994018
XS_DYll  -0.0258473 +0.999578 -0.999521
XS_DYlowmass  -0.00742161 +0.999948 -0.999865
XS_DYtautau  -1.69341 +0.913382 -0.917702
XS_DYtautau_nonfid  -0.0208417 +0.962382 -0.959687
XS_SingleTop  0.0858522 +0.999428 -0.9976
XS_TTbar  -1.12236 +0.824033 -0.838404
XS_VV  -0.46478 +1.00285 -0.96892
XS_WJets  -1.33228 +0.903662 -0.918017
XS_WW  0.0981925 +0.99892 -0.99699
XS_WZ  0.0460803 +1.00044 -0.999254
XS_ZZ  0.0194975 +0.999908 -0.999871
gamma_stat_ee_SR_bin_0  0.955598 +0.0106902 -0.0106157
gamma_stat_ee_SR_bin_1  0.978827 +0.0100621 -0.0100061
gamma_stat_ee_SR_bin_10  0.981078 +0.00759549 -0.00756326
gamma_stat_ee_SR_bin_11  0.983023 +0.00748507 -0.0074525
gamma_stat_ee_SR_bin_12  1.00369 +0.00728562 -0.00725593
gamma_stat_ee_SR_bin_13  0.9821 +0.00672164 -0.00669597
gamma_stat_ee_SR_bin_14  1.00603 +0.00645634 -0.00643767
gamma_stat_ee_SR_bin_15  1.00658 +0.0061227 -0.00610438
gamma_stat_ee_SR_bin_16  0.971939 +0.00564347 -0.00562461
gamma_stat_ee_SR_bin_17  0.991464 +0.00549123 -0.00547375
gamma_stat_ee_SR_bin_18  0.994966 +0.00495601 -0.00494495
gamma_stat_ee_SR_bin_19  0.998799 +0.00506956 -0.00505523
gamma_stat_ee_SR_bin_2  1.00241 +0.0106035 -0.0105351
gamma_stat_ee_SR_bin_20  1.01095 +0.00431406 -0.00430672
gamma_stat_ee_SR_bin_21  1.01055 +0.0040314 -0.00402471
gamma_stat_ee_SR_bin_22  1.01245 +0.00366834 -0.00366398
gamma_stat_ee_SR_bin_23  1.02185 +0.00320089 -0.00320069
gamma_stat_ee_SR_bin_24  1.00597 +0.00267217 -0.00267148
gamma_stat_ee_SR_bin_25  1.00852 +0.00228568 -0.00228642
gamma_stat_ee_SR_bin_26  1.00274 +0.0019319 -0.00193338
gamma_stat_ee_SR_bin_27  1.00114 +0.00155832 -0.00155532
