group	subgroup	recid	nevents	dataset
collision_data	SingleMuon	30530	149916849	/SingleMuon/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	SingleMuon	30563	174035164	/SingleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	SingleElectron	30529	153363109	/SingleElectron/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	SingleElectron	30562	129021893	/SingleElectron/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	Tau	30532	79578661	/Tau/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	Tau	30565	76758754	/Tau/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	MuonEG	30528	33854612	/MuonEG/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	MuonEG	30561	29236516	/MuonEG/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	DoubleMuon	30522	45235604	/DoubleMuon/Run2016G-UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD
collision_data	DoubleMuon	30555	48912812	/DoubleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	DoubleEG	30521	78797031	/DoubleEG/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
collision_data	DoubleEG	30554	85388673	/DoubleEG/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD
ztautau_signal	DY_inclusive_NLO_and_LO	35631	49267069	/DYJetsToLL_M-10to50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_inclusive_NLO_and_LO	35633	22388550	/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_inclusive_NLO_and_LO	35669	71839442	/DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_inclusive_NLO_and_LO	35671	82448537	/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_jet_binned_NLO	35577	73908089	/DYJetsToLL_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_jet_binned_NLO	35595	82259479	/DYJetsToLL_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_jet_binned_NLO	35613	41816675	/DYJetsToLL_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ztautau_signal	DY_HT_binned_LO	35651	8316351	/DYJetsToLL_M-50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
ztautau_signal	DY_HT_binned_LO	35653	1970857	/DYJetsToLL_M-50_HT-1200to2500_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
