number	section	name	scene_file	scene_class
1	1_theory	drell_yan	scenes/s1_drell_yan.py	DrellYan
2	2_cms_methods	cms_slice_build	scenes/s2_cms_slice.py	CMSSliceBuild
3	2_cms_methods	cms_signatures	scenes/s2_cms_slice.py	CMSSignatures
1	2_cms_methods	cms_logo_to_slice	scenes/s2_cms_logo.py	CMSLogoToSlice
1	3_zee	ee_process	scenes/s3_zee.py	ZeeProcess
2	3_zee	ee_detector	scenes/s3_zee.py	ZeeDetector
1	4_zmumu	mumu_process	scenes/s4_zmumu.py	ZmumuProcess
2	4_zmumu	mumu_detector	scenes/s4_zmumu.py	ZmumuDetector
1	5_ztautau	tau_decay	scenes/s5_ztautau.py	TauDecay
2	5_ztautau	tau_jet	scenes/s5_ztautau.py	TauJet
3	5_ztautau	tautau_detector	scenes/s5_ztautau.py	ZtautauDetector
1	6_combination	three_to_one	scenes/s6_combination.py	ThreeToOne
1	7_outro	mic_drop	scenes/s7_outro.py	MicDrop
4	2_cms_methods	pipe_a_map	scenes/s2_pipeline.py	PipeMap
5	2_cms_methods	pipe_b1_collisions	scenes/s2_pipeline.py	PipeData
6	2_cms_methods	pipe_b2_skim	scenes/s2_pipeline.py	PipeData
7	2_cms_methods	pipe_b3_simulation	scenes/s2_pipeline.py	PipeData
8	2_cms_methods	pipe_c1_trigger	scenes/s2_pipeline.py	PipeData+PipeSelection
9	2_cms_methods	pipe_c2_lepton_id	scenes/s2_pipeline.py	PipeSelection
10	2_cms_methods	pipe_c3_two_leptons	scenes/s2_pipeline.py	PipeSelection
11	2_cms_methods	pipe_c4_mass_window	scenes/s2_pipeline.py	PipeSelection
12	2_cms_methods	pipe_d1_tag_probe	scenes/s2_pipeline.py	PipeSelection+PipeTnP
13	2_cms_methods	pipe_d2_efficiency	scenes/s2_pipeline.py	PipeTnP
14	2_cms_methods	pipe_d3_scale_factor	scenes/s2_pipeline.py	PipeTnP
15	2_cms_methods	pipe_e1_simulation_stack	scenes/s2_pipeline.py	PipeTnP+PipeBackgrounds
16	2_cms_methods	pipe_e2_control_region	scenes/s2_pipeline.py	PipeBackgrounds
17	2_cms_methods	pipe_e3_fake_factor	scenes/s2_pipeline.py	PipeBackgrounds
18	2_cms_methods	pipe_f1_data	scenes/s2_pipeline.py	PipeBackgrounds+PipeCompare
19	2_cms_methods	pipe_f2_ratio	scenes/s2_pipeline.py	PipeCompare
20	2_cms_methods	pipe_f3_uncertainty	scenes/s2_pipeline.py	PipeCompare
21	2_cms_methods	pipe_g1_fit_model	scenes/s2_pipeline.py	PipeCompare+PipeFit
22	2_cms_methods	pipe_g2_fit	scenes/s2_pipeline.py	PipeFit
23	2_cms_methods	pipe_g3_cross_section	scenes/s2_pipeline.py	PipeFit
24	2_cms_methods	pipe_h_three	scenes/s2_pipeline.py	PipeFit+PipeThree
3	4_zmumu	mumu_a1_event	scenes/s4_zmumu_story.py	MumuEvent
4	4_zmumu	mumu_a2_mass	scenes/s4_zmumu_story.py	MumuEvent
5	4_zmumu	mumu_a3_first_entry	scenes/s4_zmumu_story.py	MumuEvent
6	4_zmumu	mumu_b1_more_events	scenes/s4_zmumu_story.py	MumuRain
7	4_zmumu	mumu_b2_rain	scenes/s4_zmumu_story.py	MumuRain
8	4_zmumu	mumu_c1_simulation	scenes/s4_zmumu_story.py	MumuStack
9	4_zmumu	mumu_c2_ratio	scenes/s4_zmumu_story.py	MumuStack
10	4_zmumu	mumu_d1_control_region	scenes/s4_zmumu_story.py	MumuControl
11	4_zmumu	mumu_d2_same_sign_pair	scenes/s4_zmumu_story.py	MumuControl
12	4_zmumu	mumu_e1_ten_pairs	scenes/s4_zmumu_story.py	MumuTenPairs
13	4_zmumu	mumu_e2_fake_factor	scenes/s4_zmumu_story.py	MumuTenPairs
14	4_zmumu	mumu_e3_ff_map	scenes/s4_zmumu_story.py	MumuTenPairs
15	4_zmumu	mumu_f1_apply	scenes/s4_zmumu_story.py	MumuTransfer
16	4_zmumu	mumu_f2_fake_template	scenes/s4_zmumu_story.py	MumuTransfer
17	4_zmumu	mumu_g1_pileup	scenes/s4_zmumu_story.py	MumuCorrections
18	4_zmumu	mumu_g2_prefiring	scenes/s4_zmumu_story.py	MumuCorrections
19	4_zmumu	mumu_g3_lepton_sf	scenes/s4_zmumu_story.py	MumuCorrections
20	4_zmumu	mumu_h1_rebin	scenes/s4_zmumu_story.py	MumuFit
21	4_zmumu	mumu_h2_fit	scenes/s4_zmumu_story.py	MumuFit
22	4_zmumu	mumu_h3_sigma_fid	scenes/s4_zmumu_story.py	MumuFit
23	4_zmumu	mumu_h4_sigma_total	scenes/s4_zmumu_story.py	MumuFit
4	5_ztautau	tautau_a1_event	scenes/s5_ztautau_story.py	TautauEvent
5	5_ztautau	tautau_a2_visible_mass	scenes/s5_ztautau_story.py	TautauEvent
6	5_ztautau	tautau_b1_neutrinos	scenes/s5_ztautau_story.py	TautauMass
7	5_ztautau	tautau_b2_likelihood	scenes/s5_ztautau_story.py	TautauMass
8	5_ztautau	tautau_b3_shapes	scenes/s5_ztautau_story.py	TautauMass
9	5_ztautau	tautau_c1_first_entry	scenes/s5_ztautau_story.py	TautauRain
10	5_ztautau	tautau_c2_rain	scenes/s5_ztautau_story.py	TautauRain
11	5_ztautau	tautau_d1_simulation	scenes/s5_ztautau_story.py	TautauStack
12	5_ztautau	tautau_d2_gap	scenes/s5_ztautau_story.py	TautauStack
13	5_ztautau	tautau_e1_same_sign	scenes/s5_ztautau_story.py	TautauFakes
14	5_ztautau	tautau_e2_tally	scenes/s5_ztautau_story.py	TautauFakes
15	5_ztautau	tautau_e3_ff_map	scenes/s5_ztautau_story.py	TautauFakes
16	5_ztautau	tautau_e4_eta_closure	scenes/s5_ztautau_story.py	TautauFakes
17	5_ztautau	tautau_e5_osss	scenes/s5_ztautau_story.py	TautauFakes
18	5_ztautau	tautau_f1_apply	scenes/s5_ztautau_story.py	TautauTransfer
19	5_ztautau	tautau_f2_template	scenes/s5_ztautau_story.py	TautauTransfer
20	5_ztautau	tautau_g1_tau_sf	scenes/s5_ztautau_story.py	TautauCorrections
21	5_ztautau	tautau_g2_event_weights	scenes/s5_ztautau_story.py	TautauCorrections
22	5_ztautau	tautau_h1_inputs	scenes/s5_ztautau_story.py	TautauBDT
23	5_ztautau	tautau_h2_shapes	scenes/s5_ztautau_story.py	TautauBDT
24	5_ztautau	tautau_h3_sketch	scenes/s5_ztautau_story.py	TautauBDT
25	5_ztautau	tautau_h4_score	scenes/s5_ztautau_story.py	TautauBDT
26	5_ztautau	tautau_h5_categories	scenes/s5_ztautau_story.py	TautauBDT
27	5_ztautau	tautau_i1_fit	scenes/s5_ztautau_story.py	TautauFit
28	5_ztautau	tautau_i2_impacts	scenes/s5_ztautau_story.py	TautauFit
29	5_ztautau	tautau_i3_sigma_fid	scenes/s5_ztautau_story.py	TautauFit
30	5_ztautau	tautau_i4_sigma_total	scenes/s5_ztautau_story.py	TautauFit
