number	section	name	scene_file	scene_class
2	2_cms_methods	cms_slice_build	scenes/s2_cms_slice.py	CMSSliceBuild
3	2_cms_methods	cms_signatures	scenes/s2_cms_slice.py	CMSSignatures
4	2_cms_methods	pipe_a_map	scenes/s2_pipeline.py	PipeMap
5	2_cms_methods	pipe_b1_collisions	scenes/s2_pipeline.py	PipeData
6	2_cms_methods	pipe_b2_skim	scenes/s2_pipeline.py	PipeData
7	2_cms_methods	pipe_b3_simulation	scenes/s2_pipeline.py	PipeData
8	2_cms_methods	pipe_c1_trigger	scenes/s2_pipeline.py	PipeData+PipeSelection
9	2_cms_methods	pipe_c2_lepton_id	scenes/s2_pipeline.py	PipeSelection
10	2_cms_methods	pipe_c3_two_leptons	scenes/s2_pipeline.py	PipeSelection
11	2_cms_methods	pipe_c4_mass_window	scenes/s2_pipeline.py	PipeSelection
12	2_cms_methods	pipe_d1_tag_probe	scenes/s2_pipeline.py	PipeSelection+PipeTnP
13	2_cms_methods	pipe_d2_efficiency	scenes/s2_pipeline.py	PipeTnP
14	2_cms_methods	pipe_d3_scale_factor	scenes/s2_pipeline.py	PipeTnP
15	2_cms_methods	pipe_e1_simulation_stack	scenes/s2_pipeline.py	PipeTnP+PipeBackgrounds
16	2_cms_methods	pipe_e2_control_region	scenes/s2_pipeline.py	PipeBackgrounds
17	2_cms_methods	pipe_e3_fake_factor	scenes/s2_pipeline.py	PipeBackgrounds
18	2_cms_methods	pipe_f1_data	scenes/s2_pipeline.py	PipeBackgrounds+PipeCompare
19	2_cms_methods	pipe_f2_ratio	scenes/s2_pipeline.py	PipeCompare
20	2_cms_methods	pipe_f3_uncertainty	scenes/s2_pipeline.py	PipeCompare
21	2_cms_methods	pipe_g1_fit_model	scenes/s2_pipeline.py	PipeCompare+PipeFit
22	2_cms_methods	pipe_g2_fit	scenes/s2_pipeline.py	PipeFit
23	2_cms_methods	pipe_g3_cross_section	scenes/s2_pipeline.py	PipeFit
24	2_cms_methods	pipe_h_three	scenes/s2_pipeline.py	PipeFit+PipeThree
25	2_cms_methods	trig_a_collisions	scenes/s2_trigger.py	TriggerChain
26	2_cms_methods	trig_b_l1_primitives	scenes/s2_trigger.py	TriggerChain
27	2_cms_methods	trig_c_l1_objects	scenes/s2_trigger.py	TriggerChain
28	2_cms_methods	trig_d_l1_decision	scenes/s2_trigger.py	TriggerChain
29	2_cms_methods	trig_e_l1_rate	scenes/s2_trigger.py	TriggerChain
30	2_cms_methods	trig_f_hlt_paths	scenes/s2_trigger.py	TriggerChain
31	2_cms_methods	trig_g_hlt_rate	scenes/s2_trigger.py	TriggerChain
32	2_cms_methods	trig_h_raw	scenes/s2_trigger.py	TriggerChain
33	2_cms_methods	trig_i_nanoaod	scenes/s2_trigger.py	TriggerChain
