number	section	name	scene_file	scene_class
1	4_zmumu	mumu_process	scenes/s4_zmumu.py	ZmumuProcess
2	4_zmumu	mumu_detector	scenes/s4_zmumu.py	ZmumuDetector
3	4_zmumu	mumu_a1_event	scenes/s4_zmumu_story.py	MumuEvent
4	4_zmumu	mumu_a2_mass	scenes/s4_zmumu_story.py	MumuEvent
5	4_zmumu	mumu_a3_first_entry	scenes/s4_zmumu_story.py	MumuEvent
6	4_zmumu	mumu_b1_more_events	scenes/s4_zmumu_story.py	MumuRain
7	4_zmumu	mumu_b2_rain	scenes/s4_zmumu_story.py	MumuRain
8	4_zmumu	mumu_c1_simulation	scenes/s4_zmumu_story.py	MumuStack
9	4_zmumu	mumu_c2_ratio	scenes/s4_zmumu_story.py	MumuStack
10	4_zmumu	mumu_d1_control_region	scenes/s4_zmumu_story.py	MumuControl
11	4_zmumu	mumu_d2_same_sign_pair	scenes/s4_zmumu_story.py	MumuControl
12	4_zmumu	mumu_e1_ten_pairs	scenes/s4_zmumu_story.py	MumuTenPairs
13	4_zmumu	mumu_e2_fake_factor	scenes/s4_zmumu_story.py	MumuTenPairs
14	4_zmumu	mumu_e3_ff_map	scenes/s4_zmumu_story.py	MumuTenPairs
15	4_zmumu	mumu_f1_apply	scenes/s4_zmumu_story.py	MumuTransfer
16	4_zmumu	mumu_f2_fake_template	scenes/s4_zmumu_story.py	MumuTransfer
17	4_zmumu	mumu_g1_pileup	scenes/s4_zmumu_story.py	MumuCorrections
18	4_zmumu	mumu_g2_prefiring	scenes/s4_zmumu_story.py	MumuCorrections
19	4_zmumu	mumu_g3_lepton_sf	scenes/s4_zmumu_story.py	MumuCorrections
20	4_zmumu	mumu_h1_rebin	scenes/s4_zmumu_story.py	MumuFit
21	4_zmumu	mumu_h2_fit	scenes/s4_zmumu_story.py	MumuFit
22	4_zmumu	mumu_h3_sigma_fid	scenes/s4_zmumu_story.py	MumuFit
23	4_zmumu	mumu_h4_sigma_total	scenes/s4_zmumu_story.py	MumuFit
24	4_zmumu	mumu_t1_tag_probe	scenes/s4_zmumu_story.py	MumuTagProbe
25	4_zmumu	mumu_t2_pass_fail	scenes/s4_zmumu_story.py	MumuTagProbe
26	4_zmumu	mumu_t3_data_vs_sim	scenes/s4_zmumu_story.py	MumuTagProbe
27	4_zmumu	mumu_t4_sf_map	scenes/s4_zmumu_story.py	MumuTagProbe
28	4_zmumu	mumu_t5_apply	scenes/s4_zmumu_story.py	MumuTagProbe
