number	section	name	scene_file	scene_class
1	5_ztautau	tau_decay	scenes/s5_ztautau.py	TauDecay
2	5_ztautau	tau_jet	scenes/s5_ztautau.py	TauJet
3	5_ztautau	tautau_detector	scenes/s5_ztautau.py	ZtautauDetector
4	5_ztautau	tautau_a1_event	scenes/s5_ztautau_story.py	TautauEvent
5	5_ztautau	tautau_a2_visible_mass	scenes/s5_ztautau_story.py	TautauEvent
6	5_ztautau	tautau_b1_neutrinos	scenes/s5_ztautau_story.py	TautauMass
7	5_ztautau	tautau_b2_likelihood	scenes/s5_ztautau_story.py	TautauMass
8	5_ztautau	tautau_b3_shapes	scenes/s5_ztautau_story.py	TautauMass
9	5_ztautau	tautau_c1_first_entry	scenes/s5_ztautau_story.py	TautauRain
10	5_ztautau	tautau_c2_rain	scenes/s5_ztautau_story.py	TautauRain
11	5_ztautau	tautau_d1_simulation	scenes/s5_ztautau_story.py	TautauStack
12	5_ztautau	tautau_d2_gap	scenes/s5_ztautau_story.py	TautauStack
13	5_ztautau	tautau_e1_same_sign	scenes/s5_ztautau_story.py	TautauFakes
14	5_ztautau	tautau_e2_tally	scenes/s5_ztautau_story.py	TautauFakes
15	5_ztautau	tautau_e3_ff_map	scenes/s5_ztautau_story.py	TautauFakes
16	5_ztautau	tautau_e4_eta_closure	scenes/s5_ztautau_story.py	TautauFakes
17	5_ztautau	tautau_e5_osss	scenes/s5_ztautau_story.py	TautauFakes
18	5_ztautau	tautau_f1_apply	scenes/s5_ztautau_story.py	TautauTransfer
19	5_ztautau	tautau_f2_template	scenes/s5_ztautau_story.py	TautauTransfer
20	5_ztautau	tautau_g1_tau_sf	scenes/s5_ztautau_story.py	TautauCorrections
21	5_ztautau	tautau_g2_event_weights	scenes/s5_ztautau_story.py	TautauCorrections
22	5_ztautau	tautau_h1_inputs	scenes/s5_ztautau_story.py	TautauBDT
23	5_ztautau	tautau_h2_shapes	scenes/s5_ztautau_story.py	TautauBDT
24	5_ztautau	tautau_h3_sketch	scenes/s5_ztautau_story.py	TautauBDT
25	5_ztautau	tautau_h4_score	scenes/s5_ztautau_story.py	TautauBDT
26	5_ztautau	tautau_h5_categories	scenes/s5_ztautau_story.py	TautauBDT
27	5_ztautau	tautau_i1_fit	scenes/s5_ztautau_story.py	TautauFit
28	5_ztautau	tautau_i2_impacts	scenes/s5_ztautau_story.py	TautauFit
29	5_ztautau	tautau_i3_sigma_fid	scenes/s5_ztautau_story.py	TautauFit
30	5_ztautau	tautau_i4_sigma_total	scenes/s5_ztautau_story.py	TautauFit
31	5_ztautau	tau_challenges	scenes/s5_tau_channels.py	TauChallenges
32	5_ztautau	tautau_channels_a	scenes/s5_tau_channels.py	TautauChannelsA
33	5_ztautau	tautau_channels_b	scenes/s5_tau_channels.py	TautauChannelsB
34	5_ztautau	tautau_channels_c	scenes/s5_tau_channels.py	TautauChannelsC
35	5_ztautau	tautau_k1_lephad_fakes	scenes/s5_ztautau_story.py	TautauLepHad
36	5_ztautau	tautau_k2_w_charge	scenes/s5_ztautau_story.py	TautauLepHad
37	5_ztautau	tautau_k3_lephad_closure	scenes/s5_ztautau_story.py	TautauLepHad
38	5_ztautau	tautau_l1_emu_regions	scenes/s5_ztautau_story.py	TautauEmu
39	5_ztautau	tautau_l2_emu_ttbar	scenes/s5_ztautau_story.py	TautauEmu
40	5_ztautau	tautau_m1_sf_lever	scenes/s5_ztautau_story.py	TautauFit
41	5_ztautau	tautau_m2_sf_fit	scenes/s5_ztautau_story.py	TautauFit
42	5_ztautau	tautau_m3_postfit	scenes/s5_ztautau_story.py	TautauFit
43	5_ztautau	tautau_m4_sigma	scenes/s5_ztautau_story.py	TautauFit
